"date","CNPJ_FUNDO","VL_QUOTA","ibov_close","usdbrl_close","irf_m1p","irf_m","ima_b5","ima_b5p","ima_b","ima_c","ima_s","ima_geral_ex_c","ima_geral","sp500_close"
2020-05-18,"01.214.092/0001-75",22.8404388,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"09.215.250/0001-13",3.0814713,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"04.682.022/0001-30",76.2789245,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"01.221.890/0001-24",168.9188645,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"09.300.166/0001-06",31.1002634,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"04.839.017/0001-98",77.6237197,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"01.599.628/0001-18",3135.029323,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"09.300.207/0001-56",30.3493131,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"04.857.834/0001-79",6.090822,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"01.606.543/0001-10",10.8841854,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"09.326.708/0001-01",43.8222577,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"05.073.650/0001-80",6.256619,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"01.606.545/0001-09",20.1058163,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"09.632.730/0001-80",2.482831,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"05.102.500/0001-58",4.640785,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"01.615.744/0001-83",211.8739851,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"09.636.393/0001-07",297.7168558,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"05.222.538/0001-64",5.9616037,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"01.822.655/0001-08",20.19628,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"09.720.734/0001-10",3.0018851,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"05.222.545/0001-66",6.0779382,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"01.996.007/0001-78",15.95735,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"10.304.401/0001-99",2.775553,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"05.381.809/0001-24",588.768078,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"02.010.147/0001-98",8.832031,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"10.322.633/0001-70",2.788583,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"05.448.587/0001-10",9.75939153,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"02.201.163/0001-68",17.102921,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"10.396.876/0001-52",33.489123,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"05.513.332/0001-93",9.119857,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"02.367.527/0001-84",138.7556735,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"10.397.617/0001-46",23.507429,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"05.523.348/0001-87",35.855508,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"02.567.997/0001-91",10.916706,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"10.474.356/0001-10",25.005733,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"05.575.465/0001-94",55.549788,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"02.603.461/0001-84",164.085683,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"10.474.514/0001-32",25.283031,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"05.586.704/0001-01",12.4812703,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"02.887.948/0001-36",105.836233,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"10.474.810/0001-33",25.68505,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"05.775.723/0001-86",3.159301,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"02.910.278/0001-21",132.3878322,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"10.500.884/0001-05",10.42521925,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"05.943.661/0001-74",4.935691,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"03.164.294/0001-85",10.771897,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"10.551.353/0001-33",2.762754,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
2020-05-18,"05.962.491/0001-75",3.466628,81194.29,5.7204,15699.496577,13922.849086,6505.30995,8611.40268,7233.982499,7674.901998,4735.544998,5874.549664,5932.877923,2953.91
